Movie_Title,Year,Director,Actors,Rating,Runtime(Mins),Censor,Total_Gross,Main_Genre,Side_Genre
Per qualche dollaro in piÃ¹,1965,Sergio Leone,"Clint Eastwood, Lee Van Cleef, Gian Maria VolontÃ¨, Mara Krupp",8.2,132,U,$15.0M,Western,Western
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,Stanley Kubrick,"Peter Sellers, George C. Scott, Sterling Hayden, Keenan Wynn",8.4,95,A,$0.28M,Comedy,War
Tengoku to jigoku,1963,Akira Kurosawa,"ToshirÃ´ Mifune, Yutaka Sada, Tatsuya Nakadai, KyÃ´ko Kagawa",8.4,143,Not Rated,$0.0M,Crime,"Drama, Mystery"
Seppuku,1962,Masaki Kobayashi,"Tatsuya Nakadai, Akira Ishihama, Shima Iwashita, TetsurÃ´ Tanba",8.6,133,Not Rated,$0.0M,Action,"Drama, Mystery"
Judgment at Nuremberg,1961,Stanley Kramer,"Spencer Tracy, Burt Lancaster, Richard Widmark, Marlene Dietrich",8.3,179,A,$0.0M,Drama,War
Psycho,1960,Alfred Hitchcock,"Anthony Perkins, Janet Leigh, Vera Miles, John Gavin",8.5,109,A,$32.0M,Horror,"Mystery, Thriller"
North by Northwest,1959,Alfred Hitchcock,"Cary Grant, Eva Marie Saint, James Mason, Jessie Royce Landis",8.3,136,U,$13.28M,Action,"Adventure, Mystery"
Vertigo,1958,Alfred Hitchcock,"James Stewart, Kim Novak, Barbara Bel Geddes, Tom Helmore",8.3,128,A,$3.2M,Mystery,"Romance, Thriller"
12 Angry Men,1957,Sidney Lumet,"Henry Fonda, Lee J. Cobb, Martin Balsam, John Fiedler",9.0,96,U,$4.36M,Crime,Drama
The Killing,1956,Stanley Kubrick,"Sterling Hayden, Coleen Gray, Vince Edwards, Jay C. Flippen",8.0,84,Not Rated,$0.0M,Crime,"Drama, Film-Noir"
Pather Panchali,1955,Satyajit Ray,"Kanu Bannerjee, Karuna Bannerjee, Subir Banerjee, Chunibala Devi",8.3,125,U,$0.54M,Drama,Drama
Shichinin no samurai,1954,Akira Kurosawa,"ToshirÃ´ Mifune, Takashi Shimura, Keiko Tsushima, Yukiko Shimazaki",8.6,207,U,$0.27M,Action,Drama
TÃ´kyÃ´ monogatari,1953,YasujirÃ´ Ozu,"ChishÃ» RyÃ», Chieko Higashiyama, SÃ´ Yamamura, Setsuko Hara",8.2,136,U,$0.0M,Drama,Drama
Le salaire de la peur,1953,Henri-Georges Clouzot,"Yves Montand, Charles Vanel, Peter van Eyck, Folco Lulli",8.2,131,U,$0.0M,Adventure,"Drama, Thriller"
Ikiru,1952,Akira Kurosawa,"Takashi Shimura, Nobuo Kaneko, Shin'ichi Himori, Haruo Tanaka",8.3,143,U,$0.06M,Drama,Drama
Singin' in the Rain,1952,"Directors:Stanley Donen, Gene Kelly","Gene Kelly, Donald O'Connor, Debbie Reynolds, Jean Hagen",8.3,103,G,$8.82M,Comedy,"Musical, Romance"
Ace in the Hole,1951,Billy Wilder,"Kirk Douglas, Jan Sterling, Robert Arthur, Porter Hall",8.1,111,Not Rated,$3.97M,Drama,Film-Noir
Sunset Blvd.,1950,Billy Wilder,"William Holden, Gloria Swanson, Erich von Stroheim, Nancy Olson",8.4,110,Not Rated,$0.0M,Drama,Film-Noir
White Heat,1949,Raoul Walsh,"James Cagney, Virginia Mayo, Edmond O'Brien, Margaret Wycherly",8.1,114,Not Rated,$0.0M,Action,"Crime, Drama"
The Third Man,1949,Carol Reed,"Orson Welles, Joseph Cotten, Alida Valli, Trevor Howard",8.1,104,U,$0.45M,Film-Noir,"Mystery, Thriller"
Ladri di biciclette,1948,Vittorio De Sica,"Lamberto Maggiorani, Enzo Staiola, Lianella Carell, Elena Altieri",8.3,89,U,$0.33M,Drama,Drama
Out of the Past,1947,Jacques Tourneur,"Robert Mitchum, Jane Greer, Kirk Douglas, Rhonda Fleming",8.0,97,Not Rated,$0.0M,Crime,"Drama, Film-Noir"
It's a Wonderful Life,1946,Frank Capra,"James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell",8.6,130,PG,$0.0M,Drama,"Family, Fantasy"
Roma cittÃ aperta,1945,Roberto Rossellini,"Anna Magnani, Aldo Fabrizi, Marcello Pagliero, Vito Annichiarico",8.0,103,Not Rated,$0.0M,Drama,"Thriller, War"
Brief Encounter,1945,David Lean,"Celia Johnson, Trevor Howard, Stanley Holloway, Joyce Carey",8.0,86,U,$0.0M,Drama,Romance
Double Indemnity,1944,Billy Wilder,"Fred MacMurray, Barbara Stanwyck, Edward G. Robinson, Byron Barr",8.3,107,Not Rated,$5.72M,Crime,"Drama, Film-Noir"
Casablanca,1942,Michael Curtiz,"Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains",8.5,102,U,$1.02M,Drama,"Romance, War"
Citizen Kane,1941,Orson Welles,"Orson Welles, Joseph Cotten, Dorothy Comingore, Agnes Moorehead",8.3,119,UA,$1.59M,Drama,Mystery
The Great Dictator,1940,Charles Chaplin,"Charles Chaplin, Paulette Goddard, Jack Oakie, Reginald Gardiner",8.4,125,Not Rated,$0.29M,Comedy,"Drama, War"
Gone with the Wind,1939,"Directors:Victor Fleming, George Cukor, Sam Wood","Clark Gable, Vivien Leigh, Thomas Mitchell, Barbara O'Neil",8.2,238,U,$198.68M,Drama,"Romance, War"
The Adventures of Robin Hood,1938,"Directors:Michael Curtiz, William Keighley","Errol Flynn, Olivia de Havilland, Basil Rathbone, Claude Rains",7.9,102,PG,$3.98M,Action,"Adventure, Romance"
La Grande Illusion,1937,Jean Renoir,"Jean Gabin, Dita Parlo, Pierre Fresnay, Erich von Stroheim",8.1,113,Not Rated,$0.17M,Drama,War
Modern Times,1936,Charles Chaplin,"Charles Chaplin, Paulette Goddard, Henry Bergman, Tiny Sandford",8.5,87,Not Rated,$0.16M,Comedy,"Drama, Romance"
Bride of Frankenstein,1935,James Whale,"Boris Karloff, Elsa Lanchester, Colin Clive, Valerie Hobson",7.8,75,Not Rated,$4.36M,Drama,"Horror, Sci-Fi"
A Night at the Opera,1935,"Directors:Sam Wood, Edmund Goulding","Groucho Marx, Chico Marx, Harpo Marx, Kitty Carlisle",7.8,96,Not Rated,$2.54M,Comedy,"Music, Musical"
It Happened One Night,1934,Frank Capra,"Clark Gable, Claudette Colbert, Walter Connolly, Roscoe Karns",8.1,105,Not Rated,$4.36M,Comedy,Romance
Duck Soup,1933,Leo McCarey,"Groucho Marx, Harpo Marx, Chico Marx, Zeppo Marx",7.8,69,Not Rated,$0.0M,Comedy,Musical
Freaks,1932,Tod Browning,"Wallace Ford, Leila Hyams, Olga Baclanova, Roscoe Ates",7.8,64,Not Rated,$0.63M,Drama,Horror
City Lights,1931,Charles Chaplin,"Charles Chaplin, Virginia Cherrill, Florence Lee, Harry Myers",8.5,87,G,$0.02M,Comedy,"Drama, Romance"
All Quiet on the Western Front,1930,Lewis Milestone,"Lew Ayres, Louis Wolheim, John Wray, Arnold Lucy",8.1,152,U,$3.27M,Drama,War
La passion de Jeanne d'Arc,1928,Carl Theodor Dreyer,"Maria Falconetti, Eugene Silvain, AndrÃ© Berley, Maurice Schutz",8.2,110,Not Rated,$0.02M,Biography,"Drama, History"
Metropolis,1927,Fritz Lang,"Brigitte Helm, Alfred Abel, Gustav FrÃ¶hlich, Rudolf Klein-Rogge",8.3,153,Not Rated,$1.24M,Drama,Sci-Fi
The General,1926,"Directors:Clyde Bruckman, Buster Keaton","Buster Keaton, Marion Mack, Glen Cavender, Jim Farley",8.2,67,Not Rated,$1.03M,Action,"Adventure, Comedy"
The Gold Rush,1925,Charles Chaplin,"Charles Chaplin, Mack Swain, Tom Murray, Henry Bergman",8.2,95,Not Rated,$5.45M,Adventure,"Comedy, Drama"
Sherlock Jr.,1924,Buster Keaton,"Buster Keaton, Kathryn McGuire, Joe Keaton, Erwin Connelly",8.2,45,Not Rated,$0.98M,Action,"Comedy, Romance"
The Kid,1921,Charles Chaplin,"Charles Chaplin, Edna Purviance, Jackie Coogan, Carl Miller",8.3,68,Not Rated,$5.45M,Comedy,"Drama, Family"
Das Cabinet des Dr. Caligari,1920,Robert Wiene,"Werner Krauss, Conrad Veidt, Friedrich Feher, Lil Dagover",8.0,76,Not Rated,$0.0M,Horror,"Mystery, Thriller"
